Species,Order,Family,Genus,Species.1,BDT.C,UDT.C,EADDC,EEDDC,OS,ET,LT,TL1,TL2,TL3,TL4,TL5,TP,TMA,TOA,DE,DLT,D1,D2,D3,D4,D5,DP,DMA,DOA,DBE,DBLT,DB1,DB2,DB3,DB4,DB5,DBP,DBMA,DBOA,pest,aquatic,pupal,parasitoid,Author,Year,Title,Journal,Vol,Pages,Location,lon,lat,quality,index
Aulacorthum solani,Homoptera,Aphididae,Aulacorthum,solani,3.58,25,138.61,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0,0,"Jandricic, S.E., Wraight, S.P., Bennett, K.C. and Sanderson, J.P.",2010,"Developmental times and life table statistics of Aulacorthum solani (Hemiptera: Aphididae) at six constant temperatures, with recommendations on the application of temperature-dependent development models.",Environmental Entomology,39,1631?1642.,"Ithaca, New York",-76.5052,42.44608,2,462
Aulacorthum solani,Homoptera,Aphididae,Aulacorthum,solani,2.69,NA,149.68,NA,NA,-,2.69,NA,NA,NA,NA,NA,NA,NA,NA,-,149.86,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0,0,"Kim, D. H., G. H. Lee, et al.",1991,"Occurrence aspects and ecological characteristics of the foxglove aphid, Aulacorthum solani Kaltenbach (Homoptera: Aphididae) in soybean.","Research Reports of the Rural Development Administration, Crop Protection (Korea)",33,28-32,"Wanju-gun, Republic of Korea",127.2539,35.89128,3,461
Austroasca viridigrisea,Homoptera,Cicadellidae,Austroasca,viridigrisea,14,NA,239.4,NA,NA,15.2,12,NA,NA,NA,NA,NA,NA,NA,NA,90.6,164.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,Page F.D.,1983,Biology of Austroasca viridigrisea (Paoli) (Hemiptera: Cicadellidae).,Journal of the Australian Entomological Society,22,149-153,"Biloela, Queensland, Australia",150.5168,-24.3996,2,544
Bactrocera dorsalis,Diptera,Tephritidae,Bactrocera,dorsalis,6.8,NA,365,NA,NA,12.3,2.4,NA,NA,NA,NA,NA,7.1,NA,NA,20.9,145.2,NA,NA,NA,NA,NA,213.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,1,0,"Yang P., Carey J.R., Dowell R.V.",1994,Temperature influences on the development and demography of Bactrocera dorsalis (Diptera: Tephritidae) in China.,Environmental Entomology,23,971 - 974,"Guangzhou, Guangdong, China",113.3485,23.1246,2,306
Bactrocera zonata,Diptera,Tephritidae,Bactrocera,zonata,10.8,NA,301.1,NA,NA,10,10,NA,NA,NA,NA,NA,11.75,NA,NA,60.67,130.93,NA,NA,NA,NA,NA,123.5,NA,NA,49.39,111.01,NA,NA,NA,NA,NA,#,NA,NA,1,0,1,0,"Mohamed, A. M.",2000,"Effect of constant temperatures on the development of the peach fruitfly, Bactrocera zonata (Saunders) (Diptera: Tephritidae).",Assiut Journal of Agricultural Sciences,31,329-339,"Cairo, Egypt",31.23571,30.04442,3,308
Baris lepidii,Coleoptera,Curculionidae,Baris,lepidii,8,NA,724.6,NA,NA,9.8,7.6,NA,NA,NA,NA,NA,7.2,NA,NA,141.7,403.5,NA,NA,NA,NA,NA,172.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,1,0,"Sherrod, D.W., White, C.E. and Eastman, C.E.",1982,"Temperature-related development of the imported crucifer weevil, Baris lepidii. (Coleoptera: Curculionidae), in the laboratory and field.",Environmental Entomology,11(4),897-900,"Collinsville, Illinois",-89.9857,38.67348,1,85
Bedelia somnulentella,Lepidoptera,Bedelliidae,Bedelia,somnulentella,6.3,NA,374,NA,NA,3.3,7.6,NA,NA,NA,NA,NA,6.1,NA,NA,99,189.9,NA,NA,NA,NA,NA,84.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,1,0,"Parrella, M.P. and Kok, L.T.",1977,The development and reproduction of Bedellia somnulentella on hedge bindweed and sweet potato.,Annals of the Entomological Society of America,70,92-928,"Blacksburg, Virginia",-80.41394,37.22957,3,802
Bembidion lampros,Coleoptera,Carabidae,Bembidion,lampros,6.53,NA,579.99,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,1,0,"Jensen, L.B.",1990,Effect of temperature on the development of the immature stages of. Bembidion lampros (Coleoptera : Carabidae).,Entomophaga,35(2),277-281,"Lyngby, Denmark",12.4843,55.7835,1,16
Bemisia argentifolii,Homoptera,Aleyrodidae,Bemisia,argentifolii,10.34,NA,319.7,NA,NA,12.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,"Greenberg, S. M., B. C. Legaspi, Jr., et al.",2000,Temperature-dependent life history of Eretmocerus eremicus (Hymenoptera: Aphelinidae) on two whitefly hosts (Homoptera: Aleyrodidae),Environmental Entomology,29,851-860,"Hidalgo County, Texas",-98.2624,26.09928,1,397
Bemisia argentifolii,Homoptera,Aleyrodidae,Bemisia,argentifolii,10.02,NA,351.83,NA,NA,13.31,8.17,NA,NA,NA,NA,NA,NA,NA,NA,80.58,276.63,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,"Nava-Camberos, U., Riley, D.G. And Harris, M.K.",2001,"Temperature and host plant effects on development, survival, and fecundity of Bemisia argentifolii (Homoptera: Alyerodidae).",Environmental Entomology,30(1),55-63,"Piracicaba, State of SÃ£o Paulo, Brazil",-47.65,-22.745,2,398
Bemisia argentifolii,Homoptera,Aleyrodidae,Bemisia,argentifolii,12.19,NA,284.86,NA,NA,13.15,11.32,NA,NA,NA,NA,NA,NA,NA,NA,84.72,216.99,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,"Nava-Camberos, U., Riley, D.G. And Harris, M.K.",2001,"Temperature and host plant effects on development, survival, and fecundity of Bemisia argentifolii (Homoptera: Alyerodidae).",Environmental Entomology,30(1),55-63,"Piracicaba, State of SÃ£o Paulo, Brazil",-47.65,-22.745,2,398
Bemisia argentifolii,Homoptera,Aleyrodidae,Bemisia,argentifolii,12.99,NA,250.46,NA,NA,13.45,12.7,NA,NA,NA,NA,NA,NA,NA,NA,83.92,167.01,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,"Nava-Camberos, U., Riley, D.G. And Harris, M.K.",2001,"Temperature and host plant effects on development, survival, and fecundity of Bemisia argentifolii (Homoptera: Alyerodidae).",Environmental Entomology,30(1),55-63,"Piracicaba, State of SÃ£o Paulo, Brazil",-47.65,-22.745,2,398
Bemisia argentifolii,Homoptera,Aleyrodidae,Bemisia,argentifolii,13.89,NA,245.36,NA,NA,11.84,13.98,NA,NA,NA,NA,NA,NA,NA,NA,96.93,149.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,"Nava-Camberos, U., Riley, D.G. And Harris, M.K.",2001,"Temperature and host plant effects on development, survival, and fecundity of Bemisia argentifolii (Homoptera: Alyerodidae).",Environmental Entomology,30(1),55-63,"Piracicaba, State of SÃ£o Paulo, Brazil",-47.65,-22.745,2,398
Bemisia argentifolii,Homoptera,Aleyrodidae,Bemisia,argentifolii,12.71,NA,222.6,NA,NA,12.47,72.85,NA,NA,NA,NA,NA,NA,NA,NA,72.85,150.69,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,"Wang, K. and Tsai, J. H.",1996,Temperature Effect on Development and Reproduction of Silverleaf Whitefly ( Homoptera: Aleyrodidae).,Annals of the Entomological Society of America,89,375-384,"Pokiok, NB, Canada",-67.2498,45.95006,2,399
Bemisia tabaci,Homoptera,Aleyrodidae,Bemisia,tabaci,11.2,NA,422.4,NA,NA,10.4,13.5,NA,NA,NA,NA,NA,NA,NA,NA,116.1,266.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0,0,"Arx R. von, Baumgaertner J.U., Delucchi V.",1983,Developmental biology of Bemisia tabaci (Genn.) (Sternorrhyncha Aleyrodidae) on cotton at constant temperatures.,Mitteilungen der Schweizerischen Entomologischen Gesellschaft,56,389-399,"Al Jazirah, Sudan",33.438353,14.8859611,2,402
Bemisia tabaci,Homoptera,Aleyrodidae,Bemisia,tabaci,8.7,NA,404,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0,0,"Muniz, M.",2000,"Development of the B-biotype of Bemisia tabaci (Gennadius, 1889) (Homoptera: Aleyrodidae) on three varieties of pepper at constant temperatures","Boletin de Sanidad Vegetal, Plagas",26,605-616,"Almeria, Spain",-2.4637136,36.834047,3,404
Bemisia tabaci,Homoptera,Aleyrodidae,Bemisia,tabaci,11.1,NA,317.3,337.5,NA,10.1,11.6,NA,NA,NA,NA,NA,NA,NA,NA,110.3,204.7,NA,NA,NA,NA,NA,NA,NA,NA,98.5,218.7,57.4,30.8,38.4,91.7,NA,-,#,NA,1,0,0,0,"Ahn, K., K. Lee, et al.",2001,"Effect of temperature and host plant on development and reproduction of the sweetpotato whitefly, Bemisia tabaci (Homoptera: Aleyrodidae)",Korean Journal of Applied Entomology,40,203-209,"Hoengseong-gun, Gangwon-do, South Korea",127.9849295,37.4917566,2,400
Bemisia tabaci,Homoptera,Aleyrodidae,Bemisia,tabaci,10,32,316,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0,0,"Zalom, F.G., E.T. Natwick, and N.C. Toscano",1985,Temperature regulation of Bemisia tabaci (Homoptera: Aleyrodidae) populations in Imperial Valley Cotton,Journal of Economic Entomology,78,61-64,"Imperial Valley, Imperial County, CA",-114.964,32.73675,2,407
Bemisia tabaci,Homoptera,Aleyrodidae,Bemisia,tabaci,11.9,NA,231.1,NA,NA,13.9,10.8,NA,NA,NA,NA,NA,NA,NA,NA,53.4,182.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0,0,"Powell D.A., Bellows T.S.",1992,Preimaginal development and survival of Bemisia tabaci on cotton and cucumber.,Environmental Entomology,21,359 - 363,"Indio, California, USA",-116.2155619,33.7205771,2,406
Bemisia tabaci,Homoptera,Aleyrodidae,Bemisia,tabaci,14.4,NA,214.8,NA,NA,15.6,13.7,NA,NA,NA,NA,NA,NA,NA,NA,54.8,162.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0,0,"Powell D.A., Bellows T.S.",1992,Preimaginal development and survival of Bemisia tabaci on cotton and cucumber.,Environmental Entomology,21,359 - 363,"Indio, California, USA",-116.2155619,33.7205771,2,406
Bemisia tabaci,Homoptera,Aleyrodidae,Bemisia,tabaci,8.3,NA,472.6,NA,NA,11.1,6.8,NA,NA,NA,NA,NA,NA,NA,NA,98.8,383.8,NA,NA,NA,NA,NA,NA,NA,NA,130,342.6,NA,NA,NA,NA,NA,-,NA,NA,1,0,0,0,"Albergaria, N. and F. J. Cividanes",2002,Thermal requirements of Bemisia tabaci (Genn.) B-biotype (Hemiptera: Aleyrodidae),Neotropical Entomology,31,359-363,"Jaboticabal, Sao Paulo, Brazil",-48.3256762,-21.2525138,2,401
Bemisia tabaci,Homoptera,Aleyrodidae,Bemisia,tabaci,8.06,NA,404,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0,0,"Muniz, M. and Nombela, G.",2001,Differential variation in development of the B- and Q-biotypes of Bemisia tabaci on sweet pepper Capsicum annnuum L. at constant temperatures.,Environmental Entomology,30(4),720-727,"MÃ¡laga, Spain",-4.41249,36.72539,2,405
Bemisia tabaci,Homoptera,Aleyrodidae,Bemisia,tabaci,8.17,NA,375.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0,0,"Muniz, M. and Nombela, G.",2001,Differential variation in development of the B- and Q-biotypes of Bemisia tabaci on sweet pepper Capsicum annnuum L. at constant temperatures.,Environmental Entomology,30(4),720-727,"MÃ¡laga, Spain",-4.41249,36.72539,2,405
Bemisia tabaci,Homoptera,Aleyrodidae,Bemisia,tabaci,10.2,NA,327.3,NA,NA,12.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,93.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0,0,"Butler G.D., Henneberry T.J., Clayton T.E.",1983,"Bemisia tabaci (Homoptera: Aleyrodidae): development, oviposition, and longevity in relation to temperature.",Annals of the Entomological Society of America,76,310-313,"Phoenix, Arizona",-112.066,33.4368,1,403
Bessa parallela,Diptera,Tachinidae,Bessa,parallela,4.72,NA,395.46,NA,NA,1.04,6.97,NA,NA,NA,NA,NA,5.47,NA,NA,53.61,108.94,NA,NA,NA,NA,NA,207.38,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,1,1,"Ichiki, R., Takasu, K. and Shima, H.",2003,Effects of temperature on immature development of the parasitic fly Bessa parallela (Meigen) (Diptera: Tachinidae).,Appl. Entomol. Zool.,38(4),435-439,"Fukoka Province, Japan",130.4183,33.60658,1,293
Bessa parallela,Diptera,Tachinidae,Bessa,parallela,6.27,NA,319.73,NA,NA,1.04,6.97,NA,NA,NA,NA,NA,6.6,NA,NA,53.61,108.94,NA,NA,NA,NA,NA,170.03,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,1,1,"Ichiki, R., Takasu, K. and Shima, H.",2003,Effects of temperature on immature development of the parasitic fly Bessa parallela (Meigen) (Diptera: Tachinidae).,Appl. Entomol. Zool.,38(4),435-439,"Fukoka Province, Japan",130.4183,33.60658,1,293
Biprorulus bibax,Hemiptera,Pentatomidae,Biprorulus,bibax,15,NA,410.7,NA,NA,15.5,14.9,NA,NA,NA,NA,NA,NA,NA,NA,50,361.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,James D.G.,1990,Development and survivorship of Biprorulus bibax (Hemiptera: Pentatomidae) under a range of constant temperatures.,Sur.Entomol.,19(4),874-877,"Yanco, New South Wales, Australia",146.4096,-34.6071,1,368
Brachycaudus rumexicolens,Homoptera,Aphididae,Brachycaudus,rumexicolens,7.11,NA,101.71,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,"Scott, J.K. and Yeoh, P.B.",1999,Bionomics and the predicted distribution of the aphid Brachycaudus rumexicolens. (Hemiptera: Aphididae).,Bulletin of Entomological Research,89,97-106,"Perth, Australia",115.8604572,-31.9505269,2,464
Brachycaudus rumexicolens,Homoptera,Aphididae,Brachycaudus,rumexicolens,7.18,NA,86.15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,"Scott, J.K. and Yeoh, P.B.",1999,Bionomics and the predicted distribution of the aphid Brachycaudus rumexicolens. (Hemiptera: Aphididae).,Bulletin of Entomological Research,89,97-106,"Perth, Australia",115.86046,-31.95053,2,464
Brachycaudus schwartzi,Homoptera,Aphididae,Brachycaudus,schwartzi,3.6,NA,190.87,NA,NA,-,3.6,3.6,3.6,3.6,3.6,NA,NA,8.2,8.2,-,190.87,50,48.6,47.6,44.2,NA,NA,287.13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,"Bueno, V. H. P. and L. V. Foureaux",1998,Effect of different temperatures on the biology of Brachycaudus (Appelia) schwartzi (Aphididae) and thermal requirements.,"Proc. of the 5th Int. Symp. on Aphids, Aphids in natural and managed ecosystems. Leon, Spain, 15-19 Sept. 1997.",NA,133-137,"Minas Gerais, Brazil",-44.555,-18.5122,3,465
Brachymeria lasus,Hymenoptera,Chalcididae,Brachymeria,lasus,12.8,NA,176,NA,NA,NA,NA,NA,NA,NA,NA,NA,13.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,73.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,1,1,"Mao H., Kunimi Y.",1994,"Effects of temperature on the development and parasitism of Brachymeria lasus, a pupal parasitoid of Homona magnanima.",Entomologia Experimentalis et Applicata,71,87-90,"Fuchu, Tokyo, Japan",139.4905,35.66696,2,726
Brachymeria lasus,Hymenoptera,Chalcididae,Brachymeria,lasus,12.3,NA,202.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,12.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,86.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,1,1,"Mao H., Kunimi Y.",1994,"Effects of temperature on the development and parasitism of Brachymeria lasus, a pupal parasitoid of Homona magnanima.",Entomologia Experimentalis et Applicata,71,87-90,"Mizuho, Tokyo, Japan",139.3516,35.76744,2,725
Bracon instabilis,Hymenoptera,Braconidae,Bracon,instabilis,10.7,NA,176.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,1,1,"Abbas M.S.T., Abou-Zeid N.A.",1983,"Biological studies on Bracon instabilis Marsh. (Hym., Braconidae) a larval parasite of Phthorimaea operculella Zell. (Lep., Gelechiidae) in Egypt.",Zeitschrift fur Angewandte Entomologie,96,32-36,"Kalubyia, Egypt",31.2168466,30.3292368,3,637
Bracon instabilis,Hymenoptera,Braconidae,Bracon,instabilis,11,NA,191,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,1,1,"Abbas M.S.T., Abou-Zeid N.A.",1983,"Biological studies on Bracon instabilis Marsh. (Hym., Braconidae) a larval parasite of Phthorimaea operculella Zell. (Lep., Gelechiidae) in Egypt.",Zeitschrift fur Angewandte Entomologie,96,32-36,"Kalubyia, Egypt",31.2168466,30.3292368,3,637
Bracon mellitor,Hymenoptera,Braconidae,Bracon,mellitor,9.6,NA,264.4,NA,NA,11.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,11.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,1,1,"Barfield C.S., Sharpe P.J.H., Bottrell D.G.",1977,A temperature driven developmental model for the parasite Bracon mellitor (Hymenoptera: Braconidae).,Canadian Entomologist,109,1503-1514,"College Station, Texas, USA",-96.3344068,30.627977,4,638
Bracon mellitor,Hymenoptera,Braconidae,Bracon,mellitor,11,NA,205.5,NA,NA,11.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,11.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,1,1,"Barfield C.S., Sharpe P.J.H., Bottrell D.G.",1977,A temperature driven developmental model for the parasite Bracon mellitor (Hymenoptera: Braconidae).,Canadian Entomologist,109,1503-1514,"College Station, Texas, USA",-96.3344068,30.627977,4,638
Bradysia impatiens,Diptera,Sciaridae,Bradysia,impatiens,-0.9,NA,567.9,NA,NA,0.8,-4.1,NA,NA,NA,NA,NA,0.7,NA,NA,99.1,427.2,NA,NA,NA,NA,NA,86.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,1,0,"Wilkinson J.D., Daugherty D.M.",1970,Comparative development of Bradysia impatiens (Diptera: Sciaridae) under constant and variable temepratures.,Annals of the Entomological Society of America,63,1079-1083,"Columbia, Missouri",-92.3278,38.9402,1,284
Bradysia impatiens,Diptera,Sciaridae,Bradysia,impatiens,3.3,NA,431.3,NA,NA,3,2.4,NA,NA,NA,NA,NA,5.6,NA,NA,80.9,291.5,NA,NA,NA,NA,NA,64,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,1,0,"Wilkinson J.D., Daugherty D.M.",1970,Comparative development of Bradysia impatiens (Diptera: Sciaridae) under constant and variable temepratures.,Annals of the Entomological Society of America,63,1079-1083,"Columbia, Missouri",-92.3278,38.9402,1,284
Bradysia sp.,Diptera,Sciaridae,Bradysia,sp.,2.03,NA,472.64,NA,NA,3.8,1.2,NA,NA,NA,NA,NA,3.1,NA,NA,74.8,321.8,NA,NA,NA,NA,NA,76.5,NA,NA,85.5,304.56,NA,NA,NA,NA,NA,#,NA,NA,0,0,1,0,"Lee, H., K. Kim, et al.",1998,"Effect of temperature on the development of Sciarid fly, Bradysia sp. (Diptera: Sciaridae)",Korean Journal of Applied Entomology,37,171-178,"Chungcheongbuk-do province Jincheon county, Korea",127.43611,36.85538,3,285
Brevicoryne brassicae,Homoptera,Aphididae,Brevicoryne,brassicae,6.7,NA,166,NA,NA,-,6.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-,166,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0,0,"Raworth, D. A.",1984,"Population dynamics of the cabbage aphid, Brevicoryne brassicae (Homoptera: Aphididae) at Vancouver, British Columbia. II. Development, fecundity, and longevity",Canadian Entomologist,116,871-878,"Abbotsford, BC, Canada",-122.32803,49.05459,3,470
Brevicoryne brassicae,Homoptera,Aphididae,Brevicoryne,brassicae,6.7,NA,126,142,NA,-,6.7,6.4,5.7,7.1,6.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-,126,31.7,32.9,27.8,33.9,NA,-,#,NA,1,0,0,0,"Raworth, D. A.",1984,"Population dynamics of the cabbage aphid, Brevicoryne brassicae (Homoptera: Aphididae) at Vancouver, British Columbia. II. Development, fecundity, and longevity",Canadian Entomologist,116,871-878,"Abbotsford, BC, Canada",-122.328026,49.054587,3,470
Brevicoryne brassicae,Homoptera,Aphididae,Brevicoryne,brassicae,2.94,25,153.87,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0,0,"Satar, S., Kersting, U. and Ulusoy, M.R.",2005,"Temperature dependent life history traits of Brevicoryne brassicae (L.) (Hom., Aphididae) on white cabbage.",Turk. J. Agric. For.,29,341-346,"Adana, Turkey",35.3308285,36.9914194,2,471
Brevicoryne brassicae,Homoptera,Aphididae,Brevicoryne,brassicae,7.1,NA,136,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0,0,"Campbell, A., Frazer, B.D., Gilbert, N., Gutierrez, A.P. and Mackanes M.",1974,Temperature requirements of some aphids and their parasites.,Journal of Applied Ecology,11,431-438,"Berkeley, CA, USA",-112.27275,37.87159,2,469
Brevicoryne brassicae,Homoptera,Aphididae,Brevicoryne,brassicae,5,NA,127,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0,0,"Campbell, A., Frazer, B.D., Gilbert, N., Gutierrez, A.P. and Mackanes M.",1974,Temperature requirements of some aphids and their parasites.,Journal of Applied Ecology,11,431-438,"Canberra, Australia",149.1272131,-35.2942184,2,467
Brevicoryne brassicae,Homoptera,Aphididae,Brevicoryne,brassicae,4.7,NA,163,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0,0,"Campbell, A., Frazer, B.D., Gilbert, N., Gutierrez, A.P. and Mackanes M.",1974,Temperature requirements of some aphids and their parasites.,Journal of Applied Ecology,11,431-438,"Vancouver, British Columbia, CA",-123.12074,49.28273,2,466
Brevicoryne brassicae,Homoptera,Aphididae,Brevicoryne,brassicae,6.5,NA,182,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0,0,"Campbell, A., Frazer, B.D., Gilbert, N., Gutierrez, A.P. and Mackanes M.",1974,Temperature requirements of some aphids and their parasites.,Journal of Applied Ecology,11,431-438,"Wageningen, Holland",5.6653948,51.9691868,2,468
Cacoecimorpha pronubana,Lepidoptera,Tortricidae,Cacoecimorpha,pronubana,8.8,NA,665.2,NA,NA,10.9,8.3,NA,NA,NA,NA,NA,5.2,NA,NA,121.5,392.6,NA,NA,NA,NA,NA,193.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,1,0,Quaglia F.,1983,Sviluppo pre-imaginale di Cacoecimorpha pronubana (Hb.) (Lepidoptera: Tortricidae) a temperature costante.,Frustula Entomologica NS,6,293-314,"Pisa, Italy",10.4016888,43.7228386,3,971
Cacopsylla pyricola,Homoptera,Psyllidae,Cacopsylla,pyricola,0.6,NA,677.9,NA,NA,0.1,1.8,NA,NA,NA,NA,NA,NA,NA,NA,163.9,470.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0,0,"McMullen, R.D. and Jong, C.",1977,Effect of temperature and host vigor on fecundity of the pear psylla (Homoptera: Psyllidae).,Canadian Entomologist,109,165-169,"Summerland, British Columbia, Canada",-119.677,49.60672,3,577
Cacopsylla pyricola,Homoptera,Psyllidae,Cacopsylla,pyricola,6,NA,336,NA,adult,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,84,252,NA,NA,NA,NA,NA,-,NA,NA,1,0,0,0,"Brunner, J. F.",1984,"The development, distribution and sampling for the pear psyllid, Psylla pyricola",Bulletin SROP,7,81-96,"Wenatchee, Washington, USA",-120.74,47.75107,3,576
Cadra calidella,Lepidoptera,Pyralidae,Cadra,calidella,19.2,NA,716.2,NA,NA,18.9,19.5,NA,NA,NA,NA,NA,15.4,NA,NA,35.25,590.5,NA,NA,NA,NA,NA,104,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,1,0,"Omar M.T.A., Kamel A.H., El-Kifl A.H., Wahab A.E.A.",1973,Ecological and biological studies on Cadra calidella (Guen.). a pest attaching dry dates in Egypt (Lepidoptera: Phycitidae).,Bull.Soc.Entomol.Egypte,57,361-370,"Aswan, Aswan Governorate, Egypt",32.89974,24.08693,2,927
