Species,Order,Family,Genus,Species.1,BDT.C,UDT.C,EADDC,EEDDC,OS,ET,LT,TL1,TL2,TL3,TL4,TL5,TP,TMA,TOA,DE,DLT,D1,D2,D3,D4,D5,DP,DMA,DOA,DBE,DBLT,DB1,DB2,DB3,DB4,DB5,DBP,DBMA,DBOA,pest,aquatic,pupal,parasitoid,Author,Year,Title,Journal,Vol,Pages,Location,lon,lat,quality,index
Acyrthosiphon kondoi,Homoptera,Aphididae,Acyrthosiphon,kondoi,-7,NA,272.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0,0,"Summers, C.G.",1988,"Cultivar and temperature influence on development, survival, and fecundity in four successive generations of Acyrthosiphon kondoi (Homoptera: Aphididae).",Journal of Economic Entomology,81,515-521,"Parlier, California, USA",-119.5270734,36.6116174,3,415
Acyrthosiphon kondoi,Homoptera,Aphididae,Acyrthosiphon,kondoi,5.4,NA,103.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0,0,"Summers, C.G.",1988,"Cultivar and temperature influence on development, survival, and fecundity in four successive generations of Acyrthosiphon kondoi (Homoptera: Aphididae).",Journal of Economic Entomology,81,515-521,"Parlier, California, USA",-119.5270734,36.6116174,3,415
Acyrthosiphon kondoi,Homoptera,Aphididae,Acyrthosiphon,kondoi,5.6,NA,104.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0,0,"Summers, C.G.",1988,"Cultivar and temperature influence on development, survival, and fecundity in four successive generations of Acyrthosiphon kondoi (Homoptera: Aphididae).",Journal of Economic Entomology,81,515-521,"Parlier, California, USA",-119.5270734,36.6116174,3,415
Acyrthosiphon kondoi,Homoptera,Aphididae,Acyrthosiphon,kondoi,8.2,NA,75.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0,0,"Summers, C.G.",1988,"Cultivar and temperature influence on development, survival, and fecundity in four successive generations of Acyrthosiphon kondoi (Homoptera: Aphididae).",Journal of Economic Entomology,81,515-521,"Parlier, California, USA",-119.52707,36.61162,3,415
Acyrthosiphon kondoi,Homoptera,Aphididae,Acyrthosiphon,kondoi,4.9,NA,122.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0,0,"Summers, C.G.",1988,"Cultivar and temperature influence on development, survival, and fecundity in four successive generations of Acyrthosiphon kondoi (Homoptera: Aphididae).",Journal of Economic Entomology,81,515-521,"Parlier, California, USA",-119.52707,36.61162,3,415
Acyrthosiphon kondoi,Homoptera,Aphididae,Acyrthosiphon,kondoi,5.1,NA,102.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0,0,"Summers, C.G.",1988,"Cultivar and temperature influence on development, survival, and fecundity in four successive generations of Acyrthosiphon kondoi (Homoptera: Aphididae).",Journal of Economic Entomology,81,515-521,"Parlier, California, USA",-119.52707,36.61162,3,415
Acyrthosiphon kondoi,Homoptera,Aphididae,Acyrthosiphon,kondoi,0,NA,168,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0,0,"Summers, C.G.",1988,"Cultivar and temperature influence on development, survival, and fecundity in four successive generations of Acyrthosiphon kondoi (Homoptera: Aphididae).",Journal of Economic Entomology,81,515-521,"Parlier, California, USA",-119.418,36.77826,3,415
Acyrthosiphon kondoi,Homoptera,Aphididae,Acyrthosiphon,kondoi,1.2,NA,165,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0,0,"Summers, C.G.",1988,"Cultivar and temperature influence on development, survival, and fecundity in four successive generations of Acyrthosiphon kondoi (Homoptera: Aphididae).",Journal of Economic Entomology,81,515-521,"Parlier, California, USA",-119.418,36.77826,3,415
Acyrthosiphon kondoi,Homoptera,Aphididae,Acyrthosiphon,kondoi,5.4,NA,109.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0,0,"Summers, C.G.",1988,"Cultivar and temperature influence on development, survival, and fecundity in four successive generations of Acyrthosiphon kondoi (Homoptera: Aphididae).",Journal of Economic Entomology,81,515-521,"Parlier, California, USA",-119.418,36.77826,3,415
Acyrthosiphon kondoi,Homoptera,Aphididae,Acyrthosiphon,kondoi,4.1,NA,141.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0,0,"Summers, C.G., R.L. Coviello, and A.P. Gutierrez",1984,Influence of constant temperatures on the development and reproduction of Acyrthosiphon kondoi (Homoptera: Aphididae),Environmental Entomology,13,236-242,"Parlier, California, USA",-119.52707,36.61162,3,416
Acyrthosiphon pisum,Homoptera,Aphididae,Acyrthosiphon,pisum,3.1,NA,135.4,NA,NA,-,3.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,135.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0,0,"Hochberg, M. E., J. Pickering, et al.",1986,"Evaluation of phenology models using field data: case study for the pea aphid, Acyrthosiphon pisum, and the blue alfalfa aphid, Acyrthosiphon kondoi (Homoptera: Aphididae)",Environmental Entomology,15,227-231,"Albany, California",-119.418,36.77826,1,421
Acyrthosiphon pisum,Homoptera,Aphididae,Acyrthosiphon,pisum,5.93,23,110.65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,"Gong, Y.,Shi,B.,Lu,H.,Zhang,S. and Wei,L.",2006,Effects of temperatures on the development and fecundity of three species of aphids.,Acta Agric. Boreali- Sin,21 (5),96?98 (in Chinese).,"Beijing, China",116.407395,39.904211,4,429
Acyrthosiphon pisum,Homoptera,Aphididae,Acyrthosiphon,pisum,5.1,NA,105,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0,0,"Campbell, A., Frazer, B.D., Gilbert, N., Gutierrez, A.P. and Mackauer M.",1974,Temperature requirements of some aphids and their parasites.,Journal of Applied Ecology,11,431-438,"Berkeley, CA, USA",-122.27275,37.87159,2,419
Acyrthosiphon pisum,Homoptera,Aphididae,Acyrthosiphon,pisum,4,NA,118,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0,0,"Campbell, A., Frazer, B.D., Gilbert, N., Gutierrez, A.P. and Mackauer M.",1974,Temperature requirements of some aphids and their parasites.,Journal of Applied Ecology,11,431-438,"Bostanici, Turkey",43.37298,38.50121,2,418
Acyrthosiphon pisum,Homoptera,Aphididae,Acyrthosiphon,pisum,4.7,NA,103,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0,0,"Lamb R.J., MacKay P.A. and Gerber, G.H.",1987,"Are development and growth of pea aphids, Acyrthosiphon pisum, in North America adapted to local temperatures",Oecologia,72,170-177,"Glenlea, MB, Canada",-97.1371,49.63443,2,424
Acyrthosiphon pisum,Homoptera,Aphididae,Acyrthosiphon,pisum,5.07,24,122.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,"Gao, Y. and Liu,C.",2007,Threshold temperature and effective accumulated temperature for Acyrthosiphon pisum development.,Grass.Turf,2,25?27(inChinese).,"Lanzhou, China",103.834304,36.061089,4,428
