Species name,Family,Order,Life stage,Metric,LT50,LT100,TimeLT100,TimeLT50,Latitude,Reference
Drosophila simulans,Drosophilidae,Diptera,Adults,LLT,-2,NA,NA,216,-17,-116
Drosophila simulans,Drosophilidae,Diptera,Adults,LLT,-4,NA,NA,324,35,-65
Drosophila simulans,Drosophilidae,Diptera,Adults,LLT,-2,NA,NA,240,-34,-115
Drosophila sternopleuralis,Drosophilidae,Diptera,Adults,LLT,-4,NA,NA,354,35,-65
Drosophila sternopleuralis,Drosophilidae,Diptera,Adults,LLT,2.45,NA,NA,1440,36,-64
Drosophila subauraria,Drosophilidae,Diptera,Adults,LLT,-9,NA,NA,NA,44,-66
Drosophila subobscura,Drosophilidae,Diptera,Adults,LLT,-8.5,NA,NA,1440,49,-114
Drosophila subsilvestris,Drosophilidae,Diptera,Adults,LLT,-6.7,NA,NA,1440,49,-114
Drosophila suzukii,Drosophilidae,Diptera,Adults,LLT,-4,NA,NA,498,35,-65
Drosophila suzukii,Drosophilidae,Diptera,Adults,LLT,-0.85,NA,NA,1440,43,-64
Drosophila suzukii,Drosophilidae,Diptera,Adults,LLT,-0.75,NA,NA,1440,36,-64
Drosophila takahashii,Drosophilidae,Diptera,Adults,LLT,4.55,NA,NA,1440,24,-64
Drosophila takahashii,Drosophilidae,Diptera,Adults,LLT,-2,NA,NA,NA,26,-66
Drosophila trapezifrons,Drosophilidae,Diptera,Adults,LLT,-2,NA,NA,NA,25,-50
Drosophila trapezifrons,Drosophilidae,Diptera,Adults,LLT,NA,3,1440,NA,25,-71
Drosophila triauraria,Drosophilidae,Diptera,Adults,LLT,-6.5,NA,NA,NA,28,-66
Drosophila triauraria,Drosophilidae,Diptera,Adults,LLT,-8.7,NA,NA,NA,37,-50
Drosophila triauraria,Drosophilidae,Diptera,Adults,LLT,NA,-4,1440,NA,37,-71
Drosophila trilutea,Drosophilidae,Diptera,Adults,LLT,-1.6,NA,NA,NA,25,-50
Drosophila unispina,Drosophilidae,Diptera,Adults,LLT,-3.5,NA,NA,1440,43,-64
Drosophila watanabei,Drosophilidae,Diptera,Adults,LLT,-3.5,NA,NA,NA,23,-50
Drosophila watanabei,Drosophilidae,Diptera,Adults,LLT,NA,3,1440,NA,23,-71
Ectemnorhinus marioni,Curculionidae,Coleoptera,Adults,LLT,NA,-11.5,60,NA,-47,-60
Ectemnorhinus similis,Curculionidae,Coleoptera,Adults,LLT,NA,-11,60,NA,-47,-60
Elatobium abietinum,Aphididae,Hemiptera,Adults,LLT,-12,NA,NA,50,57,-120
Embryonopsis halticella,Plutellidae,Lepidoptera,Larvae,LLT,-13,-24,60,60,-53,-72
Embryonopsis halticella,Plutellidae,Lepidoptera,Larvae,LLT,-19,-25,60,60,-47,-72
Endopiza viteana,Tortricidae,Lepidoptera,Pupae,LLT,-19,-19,7500,4500,42,-121
Frankliniella occidentalis,Thripidae,Thysanoptera,Adults,LLT,NA,-13,240,NA,30,-73
Habrobracon hebetor,Ichneumonoidea,Hymenoptera,Adults,LLT,-18.6,NA,NA,NA,40,-122
Habrobracon hebetor,Ichneumonoidea,Hymenoptera,Pupae,LLT,-26.7,NA,NA,NA,40,-122
Halmaeusa atriceps,Staphylinidae,Coleoptera,Larvae,LLT,-13.4,NA,NA,60,-47,-31
Halmaeusa atriceps,Staphylinidae,Coleoptera,Adults,LLT,-9.7,NA,NA,60,-47,-31
Harmonia axyridis,Coccinellidae,Coleoptera,Adults,LLT,16.6,NA,NA,NA,51,-123
Heliothis virescens,Noctuidae,Lepidoptera,Pupae,LLT,-10,NA,NA,216,45,-124
Heliothis zea,Noctuidae,Lepidoptera,Pupae,LLT,-10,NA,NA,1078,45,-124
Hemerobius simulans,Hemerobiidae,Neuroptera,Adults,LLT,NA,-40,60,NA,61,-102
Hemideina crassidens,Anostostomatidae,Orthoptera,Adults,LLT,-7.5,NA,NA,125,-41,-125
Hemideina thoracica,Anostostomatidae,Orthoptera,Adults,LLT,-5,NA,NA,210,-37,-125
Hirtodrosophila histriodes,Drosophilidae,Diptera,Adults,LLT,-3.5,NA,NA,1440,43,-64
Hydromedion sparsutum,Perimylopidae,Coleoptera,Adults,LLT,-9,-12,60,60,-54,-126
Hydromedion sparsutum,Perimylopidae,Coleoptera,Larvae,LLT,-9,-12,60,60,-54,-126
Hydromedion sparsutum,Perimylopidae,Coleoptera,Larvae,LLT,-5,-12,15,15,-54,-76
Lacanobia atlantica,Noctuidae,Lepidoptera,Pupae,LLT,-17.4,-22.4,23040,144000,50,-127
Linepithema humile,Formicidae,Hymenoptera,Adults,LLT,-4,-4,160,60,36,-128
Locusta migratoria,Acrididae,Orthoptera,Adults,LLT,-20,NA,NA,360,41,-129
Macrosteles fascifrons,Cicadellidae,Hemiptera,Adults,LLT,-12,NA,NA,7.4,46,-130
Malacosoma americanum,Lasiocampidae,Lepidoptera,Larvae,LLT,-15,-15,50,30,51,-131
Malacosoma disstria,Lasiocampidae,Lepidoptera,Larvae,LLT,NA,18,10080,NA,53,-132
Mamestra configurata,Noctuidae,Lepidoptera,Pupae,LLT,-10,-10,161280,40320,50,-133
Martyrhilda ciniflonella,Oecophoridae,Lepidoptera,Adults,LLT,NA,-40,60,NA,61,-102
Melanotus sp.,Elateridae,Coleoptera,Adults,LLT,-27,NA,NA,1440,42,-103
Melanotus sp.,Elateridae,Coleoptera,Adults,LLT,-5,NA,NA,1440,42,-103
Meligethes aeneus,Nitidulidae,Coleoptera,Adults,LLT,-9.5,NA,NA,1440,48,-134
Merizodus soledadinus,Carabidae,Coleoptera,Adults,LLT,NA,-10,144,NA,-49,-36
Metacrias huttoni,Arctiidae,Lepidoptera,Larvae,LLT,-14,NA,NA,60,-45,-135
Musca autumnalis,Muscidae,Diptera,Eggs,LLT,-5,NA,NA,120,42,-136
Musca autumnalis,Muscidae,Diptera,Pupae,LLT,-5,NA,NA,360,42,-136
Musca autumnalis,Muscidae,Diptera,Adults,LLT,-10,NA,NA,180,42,-136
Musca domestica,Muscidae,Diptera,Pupae,LLT,-5,NA,NA,420,42,-136
Musca domestica,Muscidae,Diptera,Adults,LLT,-5,-5,480,120,42,-136
Musca domestica,Muscidae,Diptera,Larvae,LLT,NA,-5,240,NA,42,-136
Mycetophila sp.,Mycetophilidae,Diptera,Adults,LLT,NA,-40,60,NA,61,-102
Myzus ascalonicus,Aphididae,Hemiptera,Adults,LLT,-9.81,NA,NA,60,-47,-137
Myzus ornatus,Aphididae,Hemiptera,Adults,LLT,-6.9,NA,NA,30,-38,-52
Myzus persicae,Aphididae,Hemiptera,Adults,LLT,-13.9,NA,NA,30,52,-52
Nasonia vitripennis,Pteromalidae,Hymenoptera,Larvae,LLT,-20,-20,720,312,40,-138
Nebrioporus baeticus,Dytiscidae,Coleoptera,Adults,LLT,NA,-6.2,NA,NA,38,-77
Nebrioporus ceresyi,Dytiscidae,Coleoptera,Adults,LLT,NA,-6.8,NA,NA,38,-77
Neobathyscia mancinii,Cholevidae,Coleoptera,Adults,LLT,-4.89,-11.72,1,1,46,-139
Neobathyscia pasai,Cholevidae,Coleoptera,Adults,LLT,-16.96,-25.41,1,1,46,-139
Nezara viridula,Pentatomidae,Hemiptera,Adults,LLT,-10,NA,NA,66,33,-140
Nyctemera annulata,Arctiidae,Lepidoptera,Larvae,LLT,NA,-10,60,NA,-46,-141
Nymphalis antiopta,Nymphalidae,Lepidoptera,Adults,LLT,NA,-34,60,NA,61,-102
Oryzaephilus surinamensis,Silvanidae,Coleoptera,Adults,LLT,-6.9,NA,NA,194,39,-98
Osmoderma eremicola,Cetoniidae,Coleoptera,Larvae,LLT,NA,-19,NA,NA,48,-94
Ostoma ferruginae,Trogossitidae,Coleoptera,Adults,LLT,NA,-55,60,NA,61,-102
Ostrinia hubilalis,Crambidae,Lepidoptera,Larvae,LLT,NA,-19.9,NA,NA,44,-142
Palirhoeus eatoni,Curculionidae,Coleoptera,Adults,LLT,NA,-11,60,NA,-47,-60
Paractora dreuxi,Helcomyzidae,Diptera,Adults,LLT,-5.5,-9,60,60,-47,-42
Paractora dreuxi,Helcomyzidae,Diptera,Larvae,LLT,-3.5,-5,60,60,-47,-42
Paractora dreuxi,Helcomyzidae,Diptera,Adults,LLT,-6.5,-10,120,120,-47,-143
Paractora dreuxi,Helcomyzidae,Diptera,Larvae,LLT,-8.5,-13,120,120,-47,-143
Parcoblatta pennsylvanica,Blattellidae,Blattodea,Adults,LLT,-16,NA,NA,1440,40,-103
Parcoblatta pennsylvanica,Blattellidae,Blattodea,Adults,LLT,-4,NA,NA,1440,40,-102
Pemphigus bursarius,Aphididae,Hemiptera,Adults,LLT,2.3,NA,NA,1,52,-144
Pemphigus bursarius,Aphididae,Hemiptera,Adults,LLT,-13.1,NA,NA,1,52,-144
Perimylops antarcticus,Tenebrionidae,Coleoptera,Adults,LLT,-9.5,-12,60,60,-54,-126
Perimylops antarcticus,Tenebrionidae,Coleoptera,Larvae,LLT,-10.5,-11,60,60,-54,-126
Periplaneta japonica,Blattidae,Blattodea,Nymphs,LLT,-8.5,-12,1,1,36,-145
Perisphaeria sp. 1,Blaberidae,Blattodea,Adults,LLT,-9.7,NA,NA,60,-30,-84
Perisphaeria sp. 2,Blaberidae,Blattodea,Adults,LLT,-8.6,NA,NA,60,-32,-84
Perisphaeria sp. 3,Blaberidae,Blattodea,Adults,LLT,-8,NA,NA,60,-32,-84
Phratora sp.,Chrysomelidae,Coleoptera,Adults,LLT,NA,-45,60,NA,61,-102
Phyllodecta laticollis,Chrysomelidae,Coleoptera,Adults,LLT,NA,-42,NA,NA,63,-146
Phyllodecta laticollis,Chrysomelidae,Coleoptera,Adults,LLT,NA,-9,NA,NA,63,-146
Phytomyza ilicis,Agromyzidae,Diptera,Larvae,LLT,NA,-23,60,NA,53,-78
Pimelia grandis,Tenebrionidae,Coleoptera,Adults,LLT,-10,NA,NA,65,16,-53
Planostibes sp.,Tenebrionidae,Coleoptera,Adults,LLT,-6.9,NA,NA,60,-32,-84
Polygonia sp.,Nymphalidae,Lepidoptera,Adults,LLT,NA,-34,60,NA,61,-102
Pringleophaga marioni,Tineidae,Lepidoptera,Larvae,LLT,NA,-9,1080,NA,-47,-44
Psacothea hilaris,Cerambycidae,Coleoptera,Eggs,LLT,-14,-28,60,60,36,-147
Psorodes sp.,Tenebrionidae,Coleoptera,Adults,LLT,-6.5,NA,NA,60,-32,-84
Pterostichini sp.,Carabidae,Coleoptera,Adults,LLT,-4.4,NA,NA,60,-30,-84
Pterostichus brevicornis,Carabidae,Coleoptera,Adults,LLT,NA,-70,60,NA,61,-102
Pterostichus brevicornis,Carabidae,Coleoptera,Adults,LLT,-50,NA,NA,480,64,-148
Pyrrhocoris apterus,Pyrrhocoridae,Hemiptera,Adults,LLT,-12,NA,NA,1440,49,-96
Pyrrhocoris apterus,Pyrrhocoridae,Hemiptera,Adults,LLT,-15.4,NA,NA,1440,49,-149
Pyrrhocoris apterus,Pyrrhocoridae,Hemiptera,Adults,LLT,-5,-5,20160,10944,49,-150
Pyrrhocoris apterus,Pyrrhocoridae,Hemiptera,Adults,LLT,-5,-5,86400,51264,49,-150
Pyrrhocoris apterus,Pyrrhocoridae,Hemiptera,Adults,LLT,-10,NA,NA,1440,43,-149
Pytho americanus,Pythidae,Coleoptera,Larvae,LLT,NA,-13,1,NA,51,-151
Pytho deplanatus,Pythidae,Coleoptera,Larvae,LLT,NA,-9,1,NA,51,-151
Reticultermes flavipes,Scarabaeidae,Coleoptera,Adults,LLT,NA,-3,NA,NA,33,-18
Rheumaptera hastata,Geometridae,Lepidoptera,Pupae,LLT,-25,NA,NA,21600,64,-152
Rheumaptera hastata,Geometridae,Lepidoptera,Pupae,LLT,-5,-25,1440,1440,64,-152
Rhopalosiphum padi,Aphididae,Hemiptera,Adults,LLT,-9.69,NA,NA,60,-47,-137
Rhyacionia buoliana,Tortricidae,Lepidoptera,Larvae,LLT,NA,-30,480,NA,44,-153
Rhyacionia buoliana,Tortricidae,Lepidoptera,Larvae,LLT,NA,-35,60,NA,43,-153
Rhyzopertha dominica,Bostrichidae,Coleoptera,Adults,LLT,-10.7,NA,NA,59,39,-98
Sarcophaga crassipalpis,Sarcophagidae,Diptera,Adults,LLT,-17,17,14400,5760,40,-154
Sarcophaga crassipalpis,Sarcophagidae,Diptera,Larvae,LLT,-10,-10,22,8,40,-80
Sarcophaga crassipalpis,Sarcophagidae,Diptera,Pupae,LLT,-10,NA,NA,48,40,-80
Sarcophaga crassipalpis,Sarcophagidae,Diptera,Adults,LLT,-10,-10,80,20,40,-80
Scaptodrosophila bryani,Drosophilidae,Diptera,Adults,LLT,4.1,NA,NA,1440,24,-64
Scaptodrosophila coracina,Drosophilidae,Diptera,Adults,LLT,-2.95,NA,NA,1440,24,-64
Scaptodrosophila coracina,Drosophilidae,Diptera,Adults,LLT,-5.3,NA,NA,1440,43,-64
Scaptodrosophila dorsocentralis,Drosophilidae,Diptera,Adults,LLT,8.25,NA,NA,1440,24,-64
Scaptodrosophila pallida,Drosophilidae,Diptera,Adults,LLT,-5.95,NA,NA,1440,43,-64
Scolytus ratzeburgi,Curculionidae,Coleoptera,Larvae,LLT,NA,-30,40320,NA,48,-155
Scolytus scolytus,Curculionidae,Coleoptera,Larvae,LLT,-20.5,NA,NA,NA,51,-156
Semiadalia undecimnotata,Coccinellidae,Coleoptera,Adults,LLT,-20,NA,NA,1440,49,-96
Sitophilus granarius,Curculionidae,Coleoptera,Adults,LLT,-7.5,NA,NA,104,39,-98
Somaticus sp.,Tenebrionidae,Coleoptera,Adults,LLT,-6.4,NA,NA,60,-32,-84
Stenocara dentata,Tenebrionidae,Coleoptera,Adults,LLT,-6.8,NA,NA,60,-32,-84
Thaumatotibia leucotreta,Tortricidae,Lepidoptera,Adults,LLT,-3,-5,5760,5760,-33,-157
Tipula sp.,Tipulidae,Diptera,Larvae,LLT,NA,-11,1440,NA,61,-158
Tipula trivittata,Tipulidae,Diptera,Larvae,LLT,-30,NA,NA,1440,42,-159
Tipula trivittata,Tipulidae,Diptera,Larvae,LLT,-6,NA,NA,1440,42,-159
Tribolium castanuem,Tenebrionidae,Coleoptera,Adults,LLT,-9.8,NA,NA,149,39,-98
Typhlocyba sp.,Cicadellidae,Hemiptera,Adults,LLT,NA,-40,60,NA,61,-102
Uloma impressa,Tenebrionidae,Coleoptera,Adults,LLT,-21,NA,NA,1440,42,-103
Uloma impressa,Tenebrionidae,Coleoptera,Adults,LLT,-6,NA,NA,1440,42,-103
Upis ceramboides,Tenebrionidae,Coleoptera,Adults,LLT,NA,-55,60,NA,61,-160
Upis ceramboides,Tenebrionidae,Coleoptera,Adults,LLT,NA,-60,60,NA,61,-102
Vespula maculata,Vespidae,Hymenoptera,Adults,LLT,-4,NA,NA,1440,42,-161
Vespula maculata,Vespidae,Hymenoptera,Adults,LLT,-14,NA,NA,1440,42,-161
Xylophagus sp.,Xylophagidae,Diptera,Larvae,LLT,NA,-15,1,NA,69,-151
Zaprionus vittiger,Drosophilidae,Diptera,Adults,LLT,-1,-6,120,120,-34,-162
