"","Species","Order","Family","Genus","Species.1","BDT.C","UDT.C","EADDC","EEDDC","OS","ET","LT","TL1","TL2","TL3","TL4","TL5","TP","TMA","TOA","DE","DLT","D1","D2","D3","D4","D5","DP","DMA","DOA","DBE","DBLT","DB1","DB2","DB3","DB4","DB5","DBP","DBMA","DBOA","Author","Year","Title","Journal","Vol","Pages","Location","Lab","BDT.c","lon","lat"
"1","Tyrophagus putrescentiae","Acari","Acaridae","Tyrophagus","putrescentiae",5,36.1,291.4,NA,"","4.4",9.68,6.1,"7.3","6.3","","",NA,NA,NA,"112.3",89.81,"63.8","37.8","52.4","","",NA,NA,NA,"105.3",186.1,72.4,52.3,61.4,NA,"","-",NA,"","S†nchez-Ramos, I. and P. Casta§era",2001,"Development and survival of Tyrophagus putrescentiae (Acari: Acaridae) at constant temperatures.","Environmental Entomology","30","1082-1089","Spain, Almendralejo","",5,-6.4058423,38.6914575
"2","Epitrimerus pyri","Acari","Eriophyidae","Epitrimerus","pyri",3.8,NA,144.9,NA,"","2.2",3.3,NA,"","","","",NA,5.12,NA,"93.5",78.7,"","","","","",NA,37.3,NA,"75",70,NA,NA,NA,NA,"","-",39,"","Bergh, J. C.",1994," Pear rust mite (Acari: Eriophyidae) fecundity and development at constant temperatures","Environmental Entomology","23"," 420-424","Canada, British Columbia ","",3.8,-127.6476206,53.7266683
"4","Epitrimerus pyri","Acari","Eriophyidae","Epitrimerus","pyri",5.31,NA,162.9,189.5,"","5.5",5,NA,"","","","",NA,NA,NA,"81.9",80,"","","","","",NA,NA,NA,"83",79.9,21.9,24,15,19,"","-",26.6,"","Easterbrook, M.A.",1978,"The life-history and bionomics of Epitrimerus piri (Acarina: Eriophyidae) on pear","Annals of Applied Biology","88"," 13-22","United Kingdom","",5.31,-3.435973,55.378051
"7","Amphitetranychus viennensis","Acari","Tetranychidae","Amphitetranychus","viennensis",11.49,NA,168.92,196.5,"","11.42",11.51,NA,"","","","",NA,11.12,NA,"75.19",93.56,"","","","","",NA,26.32,NA,"73.12",95.8,17.8,16.3,16.3,12.4,"33","-",27.58,"","Gotoh, T.",1987,"Developmental zero of Tetranychus viennensis Zacher (Acarina: Tetranychidae) on deciduous oak.","Japanese Journal of Applied Entomology and Zoology","31","174-175","Japan, Ibaraki","",11.49,140.4245143,36.2869206
"8","Amphitetranychus viennensis","Acari","Tetranychidae","Amphitetranychus","viennensis",9.07,NA,185.18,NA,"","9.72",NA,NA,"","","","",NA,NA,NA,"72.99",NA,"","","","","",NA,NA,NA,"",NA,NA,NA,NA,NA,"","",NA,"","Kasap, I.",2003,"Life history of hawthorn spider mite <i>Amphitetranychus viennensis</i> (Acarina: Tetranychidae) on various apple cultivars and at different temperatures.","Experimental and Applied Acarology","31","79-91","Turkey, Van","",9.07,43.3729793,38.5012085
"9","Eotetranychus carpini","Acari","Tetranychidae","Eotetranychus","carpini",9.21,30.3,68.59,NA,"","",NA,NA,"","","","",NA,NA,NA,"",NA,"","","","","",NA,NA,NA,"",NA,NA,NA,NA,NA,"","",NA,"","Bonato, O., Cotton, D., Kreiter, S. and Gutierrez, J.",1990,"Influence of temperature on the life-history parameters of the yellow grape-vine mite Eotetranychus carpini (Oudemans) (Acari: Tetranychidae).","Int. J. Acarol.","16","241-245.","","",9.21,43.3729793,38.5012085
"10","Eotetranychus carpini borealis","Acari","Tetranychidae","Eotetranychus","carpini borealis",3.33,35,317.5,NA,"","6.62",0.82,NA,"","","","",NA,NA,NA,"78.5",248.8,"","","","","",NA,NA,NA,"99.6",217.8,39.7,23.2,34,31.9,"89","-",NA,"","Bounfour, M. and L. K. Tanigoshi",2001,"Effect of temperature on development and demographic parameters of Tetranychus urticae and Eotetranychus carpini borealis (Acari: Tetranychidae)","Annals of the Entomological Society of America","94"," 400-404","USA, Washington State, Vancouver","",3.33,-122.6614861,45.6387281
"11","Eotetranychus carpini borealis","Acari","Tetranychidae","Eotetranychus","carpini borealis",9.44,25,59.33,NA,"","",NA,NA,"","","","",NA,NA,NA,"",NA,"","","","","",NA,NA,NA,"",NA,NA,NA,NA,NA,"","",NA,"","Bounfour, M.and Tanigoshi, L.K.",2001,"Effect of temperature on development and demographic parameters of Tetranychus urticae and Eotetranychus carpini borealis (Acari: Tetranychidae).","Annals of the Entomological Society of America","94","400?404.","","",9.44,43.3729793,38.5012085
"12","Eotetranychus kankitus","Acari","Tetranychidae","Eotetranychus","kankitus",9.9,30,71.71,NA,"","",NA,NA,"","","","",NA,NA,NA,"",NA,"","","","","",NA,NA,NA,"",NA,NA,NA,NA,NA,"","",NA,"","Wang, K., Zeng, Z. and Huang, W.",1992,"Comparison of development rate and temperature for three citrus mites.","J. Southwest Agric. Univ","14 (1)","12?16 (in Chinese).","","",9.9,43.3729793,38.5012085
"13","Eotetranychus populi","Acari","Tetranychidae","Eotetranychus","populi",8.45,28,102.41,NA,"","",NA,NA,"","","","",NA,NA,NA,"",NA,"","","","","",NA,NA,NA,"",NA,NA,NA,NA,NA,"","",NA,"","Sun, X., Zhou ,C., Liu, Y., Liang, H. and Cui, Z.",1996,"Studies on bionomics and effective accumulated temperature of Eotetranychus populi (Koch) (Acariformes: Tetranychidae).","Acta Entomol. Sin.","39 (2)","166?172 (in Chinese).","","",8.45,43.3729793,38.5012085
"14","Eotetranychus sp.","Acari","Tetranychidae","Eotetranychus","sp.",7.05,27,100.6,NA,"","",NA,NA,"","","","",NA,NA,NA,"",NA,"","","","","",NA,NA,NA,"",NA,NA,NA,NA,NA,"","",NA,"","Cai, R., Yue, S. and Hu, G.",1990,"Study of threshold for development and effective thermal summation of Eotetranychus sp.","J. Sichuan Agric. Univ.","8 (1)","18?22 (in Chinese).","","",7.05,43.3729793,38.5012085
"15","Eotetranychus willamettei","Acari","Tetranychidae","Eotetranychus","willamettei",9.36,28,76.06,NA,"","",NA,NA,"","","","",NA,NA,NA,"",NA,"","","","","",NA,NA,NA,"",NA,NA,NA,NA,NA,"","",NA,"","Stavrinides, M.C., Lara, J.R. and Mills, N.J.",2010,"Comparative influence of temperature on development and biological control of two common vineyard pests (Acari: Tetranychidae).","Biological Control","55","126?131.","","",9.36,43.3729793,38.5012085
"16","Eutetranychus orientalis","Acari","Tetranychidae","Eutetranychus","orientalis",14.02,30,70.94,NA,"","",NA,NA,"","","","",NA,NA,NA,"",NA,"","","","","",NA,NA,NA,"",NA,NA,NA,NA,NA,"","",NA,"","Lin, Y., Fu, Y., Yang, G. and Zhang, J.",1995,"Influence of temperature on development and reproduction of Eutetranychus orientalis (Klein).","Chin. J. Trop. Crops","16 (1)","94?98 (in Chinese).","","",14.02,43.3729793,38.5012085
"17","Eutetranychus orientalis","Acari","Tetranychidae","Eutetranychus","orientalis",7.91,30,98.74,NA,"","",NA,NA,"","","","",NA,NA,NA,"",NA,"","","","","",NA,NA,NA,"",NA,NA,NA,NA,NA,"","",NA,"","Zhou, C., Zhang, W., Qiao, L., Sun, X. and Wang, Z.",2006,"The biological characteristics, effective accumulate temperature and occurrence regulation of Eutetranychus orientalis.","Sci. Silvae Sin","42 (5)","89?93 (in Chinese).","","",7.91,43.3729793,38.5012085
"18","Metatetranychus ulmi","Acari","Tetranychidae","Metatetranychus","ulmi",7.91,30,103.68,NA,"","",NA,NA,"","","","",NA,NA,NA,"",NA,"","","","","",NA,NA,NA,"",NA,NA,NA,NA,NA,"","",NA,"","Mori, H.",1957,"The influence of temperature and relative humidity up on the development of the eggs of fruit tree read spider mite Metatetranychus ulmi Koch.","J. Fac. Agric., Hokkaido Univ. Sapporo","50","363?370.","","",7.91,43.3729793,38.5012085
"19","Mononychellus progresivus","Acari","Tetranychidae","Mononychellus","progresivus",13,NA,129.9,171.3,"","14.53",10.97,NA,"","","","",NA,21.25,NA,"54.3",78.8,"","","","","",NA,10.2,NA,"62.1",67.8,NA,NA,NA,NA,"","-",41.4,"","Bonato, O., J. BaumgÑrtner, et al.",1995,"Comparison of biological and demographic parameters for Mononychellus progresivus and Oligonychus gossypii on cassava: influence of temperature.","Entomologia Experimentalis et Applicata","75","119-125","Congo, Brazzaville","",13,15.827659,-0.228021
"20","Mononychellus progresivus","Acari","Tetranychidae","Mononychellus","progresivus",14.6,31,53.91,NA,"","",NA,NA,"","","","",NA,NA,NA,"",NA,"","","","","",NA,NA,NA,"",NA,NA,NA,NA,NA,"","",NA,"","Bonato, O., BaumgÑrtner, J. and Gutierrez, J.",1995,"Comparison of biological and demographic parameters for Mononychellus progresivus and Oligonychus gossypii on cassava: influence of temperature.","Entomologia Experimentalis et Applicata","75","119?125.","","",14.6,43.3729793,38.5012085
"21","Mononychellus tanajoa","Acari","Tetranychidae","Mononychellus","tanajoa",14.46,NA,137.2,151.2,"","15.43",13.71,NA,"","","","",NA,16.3,NA,"60.22",74.73,"","","","","",NA,11.47,NA,"66.8",70.5,26.5,18,26,NA,"","-",14,"","Yaninek, J. S., A. P. Gutierrez, et al.",1989,"Dynamics of Mononychellus tanajoa (Acari: Tetranychidae) in Africa: Experimental evidence of temperature and host plant effects on population growth rates","Environmental Entomology","18"," 633-640","Nigeria, Ibadan","",14.46,3.9470396,7.3775355
"22","Mononychellus tanajoa","Acari","Tetranychidae","Mononychellus","tanajoa",15.2,31,61.6,NA,"","",NA,NA,"","","","",NA,NA,NA,"",NA,"","","","","",NA,NA,NA,"",NA,NA,NA,NA,NA,"","",NA,"","Yaninek, J.S., Gutierrez, A.P. and Herren, H.R.",1989,"Dynamics of Mononychellus tanajoa (Acari: Tetranychidae) in Africa: experimental evidence of temperature and host plant effects of population growth rates.","Environmental Entomology","18","633-640.","","",15.2,43.3729793,38.5012085
"23","Oligonychus coffeae","Acari","Tetranychidae","Oligonychus","coffeae",10.2,NA,200,NA,"","12.2",6.16,NA,"","","","",NA,NA,NA,"84.8",125.3,"","","","","",NA,NA,NA,"106",91.2,17.4,13.2,14.4,12.5,"33.7","-",NA,"","Gotoh, T. and T. Nagata",2001,"Development and reproduction of <i>Oligonychus coffeae</i> (Acari: Tetranychidae) on tea.","International Journal of Acarology","27","293-298","Japan, Okinawa, Nago","",10.2,127.9773162,26.5915465
"24","Oligonychus coffeae","Acari","Tetranychidae","Oligonychus","coffeae",10,NA,212.8,232.6,"","12.3",6.37,NA,"","","","",NA,NA,NA,"85.5",139.18,"","","","","",NA,NA,NA,"112",100.8,23.5,13.8,16.7,12.6,"34.2","-",NA,"","Gotoh, T. and T. Nagata",2001,"Development and reproduction of Oligonychus coffeae (Acari: Tetranychidae) on tea.","International Journal of Acarology","27","293-298","Japan, Okinawa, Nago","",10,127.9773162,26.5915465
"25","Oligonychus coffeae","Acari","Tetranychidae","Oligonychus","coffeae",12.94,32,81.81,NA,"","",NA,NA,"","","","",NA,NA,NA,"",NA,"","","","","",NA,NA,NA,"",NA,NA,NA,NA,NA,"","",NA,"","Gotoh, T. and Nagata, T.",2001,"Development and reproduction of Oligonychus coffeae (Acari: Tetranychidae) on tea.","Int. J. Acarol.","27","293-298.","","",12.94,43.3729793,38.5012085
"26","Oligonychus gossypii","Acari","Tetranychidae","Oligonychus","gossypii",11,NA,161.4,205.6,"","14.65",3.86,NA,"","","","",NA,13.91,NA,"55.9",127.9,"","","","","",NA,33.7,NA,"75.2",86.3,NA,NA,NA,NA,"","-",44.1,"","Bonato, O., J. BaumgÑrtner, et al.",1995,"Comparison of biological and demographic parameters for Mononychellus progresivus and Oligonychus gossypii on cassava: influence of temperature.","Entomologia Experimentalis et Applicata","75","119-125","Congo, Brazzaville","",11,15.827659,-0.228021
"27","Oligonychus gossypii","Acari","Tetranychidae","Oligonychus","gossypii",12.83,31,65.15,NA,"","",NA,NA,"","","","",NA,NA,NA,"",NA,"","","","","",NA,NA,NA,"",NA,NA,NA,NA,NA,"","",NA,"","Bonato, O., BaumgÑrtner, J. and Gutierrez, J.",1995,"Comparison of biological and demographic parameters for Mononychellus progresivus and Oligonychus gossypii on cassava: influence of temperature.","Entomologia Experimentalis et Applicata","75","119?125.","","",12.83,43.3729793,38.5012085
"29","Oligonychus milleri","Acari","Tetranychidae","Oligonychus","milleri",10.47,30,110.92,NA,"","",NA,NA,"","","","",NA,NA,NA,"",NA,"","","","","",NA,NA,NA,"",NA,NA,NA,NA,NA,"","",NA,"","Landwehr, V.R. amd Allen, W.W.",1982,"Life history of Oligonychus subnudus and O. milleri (Acari: Tetranychidae) and influence of temperature on development, survival, and oviposition.","Annals of the Entomological Society of America","75","340?345.","","",10.47,43.3729793,38.5012085
"30","Oligonychus perseae","Acari","Tetranychidae","Oligonychus","perseae",7.8,NA,200,NA,"","7.18",NA,7.95,"10.65","7.06","","",NA,NA,NA,"90.91",NA,"50","32.26","55","","",NA,NA,NA,"",NA,NA,NA,NA,NA,"","",NA,"","Aponte, O. and J. A. McMurtry",1997,"Biology, life table and mating behavior of <i>Oligonychus perseae</i> (Acari: Tetranychidae).","International Journal of Acarology","23","199-207","USA, California, San Diego county","",7.8,-117.1610966,32.7157305
"31","Oligonychus perseae","Acari","Tetranychidae","Oligonychus","perseae",9,NA,166,NA,"","8.85",NA,9.78,"11.32","8.56","","",NA,NA,NA,"76.92",NA,"37.04","27.03","40","","",NA,NA,NA,"",NA,NA,NA,NA,NA,"","",NA,"","Aponte, O. and J. A. McMurtry",1997,"Biology, life table and mating behavior of <i>Oligonychus perseae</i> (Acari: Tetranychidae).","International Journal of Acarology","23","199-207","USA, California, San Diego county","",9,-117.1610966,32.7157305
"32","Oligonychus perseae","Acari","Tetranychidae","Oligonychus","perseae",8.93,NA,205.1,NA,"","8.11",9.21,8.89,"10.95","7.22","","",NA,NA,NA,"85.6",120.3,"43.8","29.7","49","","",NA,NA,NA,"79.8",125.4,46,36.6,42.8,NA,"","-",NA,"","Aponte, O. and J. A. McMurtry",1997,"Biology, life table and mating behavior of Oligonychus perseae (Acari: Tetranychidae).","International Journal of Acarology","23","199-207","USA, California, San Diego county","",8.93,-117.1610966,32.7157305
"33","Oligonychus subnudus","Acari","Tetranychidae","Oligonychus","subnudus",6.4,NA,322.7,NA,"","6.33",NA,NA,"","","","",NA,NA,NA,"163.6",NA,"","","","","",NA,NA,NA,"",NA,NA,NA,NA,NA,"","",NA,"","Landwehr, V. R. and W. W. Allen",1982,"Life history of Oligonychus subnudus and O. milleri (Acari: Tetranychidae) and influence of temperature on development, survival, and oviposition.","Annals of the Entomological Society of America","75","340-345","USA, California, Berkeley","",6.4,-122.272747,37.8715926
"34","Panonychus citri","Acari","Tetranychidae","Panonychus","citri",10.85,NA,151.61,NA,"","",NA,NA,"","","","",NA,NA,NA,"",NA,"","","","","",NA,NA,NA,"",NA,NA,NA,NA,NA,"","",NA,"","Delrio, G. and M. Monagheddu",1986,"Effects of temperature on the increase of populations of <i>Panonychus citri </i>(McGregor) (Acarina: Tetranychidae).","Redia","69","627-650","Sardinia","",10.85,9.0128926,40.1208752
"35","Panonychus citri","Acari","Tetranychidae","Panonychus","citri",8,NA,222.9,NA,"","8.75",7.35,NA,"","","","",NA,NA,NA,"91.7",131.3,"","","","","",NA,NA,NA,"",NA,NA,NA,NA,NA,"","-",NA,"","Jones, V. P. and J. G. Morse",1984,"A synthesis of temperature dependent developmental studies with the citrus red mite, <i>Panonychus citri </i>(McGregor) (Acari: Tetranychidae).","Florida Entomologist","67","213-221","USA, California","",8,-119.4179324,36.778261
"36","Panonychus citri","Acari","Tetranychidae","Panonychus","citri",8.2,NA,189.9,213.16,"","5.8",10.1,NA,"","","","",NA,9.3,NA,"126.6",68,"","","","","",NA,20.4,NA,"107.09",82.81,NA,NA,NA,NA,"","-",23.26,"","Jones, V. P. and J. G. Morse",1984,"A synthesis of temperature dependent developmental studies with the citrus red mite, <i>Panonychus citri </i>(McGregor) (Acari: Tetranychidae).","Florida Entomologist","67","213-221","USA, California","",8.2,-119.4179324,36.778261
"37","Panonychus citri","Acari","Tetranychidae","Panonychus","citri",10.56,NA,174,NA,"","",NA,NA,"","","","",NA,NA,NA,"",NA,"","","","","",NA,NA,NA,"",NA,NA,NA,NA,NA,"","",NA,"","Jones, V. P. and J. G. Morse",1984,"A synthesis of temperature dependent developmental studies with the citrus red mite, <i>Panonychus citri </i>(McGregor) (Acari: Tetranychidae).","Florida Entomologist","67","213-221","USA, California","",10.56,-119.4179324,36.778261
"41","Panonychus citri","Acari","Tetranychidae","Panonychus","citri",7.9,NA,347.5,NA,"","7.4",8.2,NA,"","","","",NA,NA,NA,"123",217,"","","","","",NA,NA,NA,"120.2",227.4,NA,NA,NA,NA,"","-",NA,"","Yasuda, M.",1982,"Influence of temperature on some of the life cycle parameters of the citrus red mite, Panonychus citri (McGregor) (Acarina: Tetranychidae).","Japanese Journal of Applied Entomology and Zoology","26","52-57","Japan","",7.9,138.252924,36.204824
"42","Panonychus citri","Acari","Tetranychidae","Panonychus","citri",8.38,28,112.09,NA,"","",NA,NA,"","","","",NA,NA,NA,"",NA,"","","","","",NA,NA,NA,"",NA,NA,NA,NA,NA,"","",NA,"","Yasuda, M.",1982,"Influence of temperature on some of the life cycle parameters of the citrus red mite, Panonychus citri (McGregor) (Acarina: Tetranychidae).","Jap. J. Appl. Ent. Zool.","26","52?57 (in Japanese).","","",8.38,43.3729793,38.5012085
"44","Panonychus ulmi","Acari","Tetranychidae","Panonychus","ulmi",10.6,NA,140.2,157.1,"","10.28",10.53,10.08,"10.76","10.73","","",NA,NA,NA,"72.67",71.67,"26.92","20.37","24.52","","",NA,NA,NA,"69.4",70.8,24.95,20.85,25,NA,"","-",16.9,"","Herbert, H. J.",1981,"Biology, life tables and intrinsic rate of increase of the European red mite, Panonychus ulmi (Acarina: Tetranychidae)","Canadian Entomologist","113","65-71","Canada, Nova Scotia","",10.6,-63.744311,44.6819866
"47","Tetranychus cinnabarinus","Acari","Tetranychidae","Tetranychus","cinnabarinus",10,NA,163.25,NA,"","",NA,NA,"","","","",NA,NA,NA,"",NA,"","","","","",NA,NA,NA,"",NA,NA,NA,NA,NA,"","",NA,"","Qui, F. and Q. S. Li",1988,"Biology and population dynamics of Tetranychus cinnabarinus (Boisduval) on cotton","Insect Knowledge","25"," 333-338","China","",10,104.195397,35.86166
"48","Tetranychus cinnabarinus","Acari","Tetranychidae","Tetranychus","cinnabarinus",10.12,33,67.51,NA,"","",NA,NA,"","","","",NA,NA,NA,"",NA,"","","","","",NA,NA,NA,"",NA,NA,NA,NA,NA,"","",NA,"","Ito, S.",1974,"Influence of temperature up on the incubation period and the time required for development from hatching to adult of carmine mite, Tetranychus cinnabarinus (Boisduval) (Acarina: Tetranychidae).","Bull. Kanagawa Horticul. Tech. Center","22","120?123 (in Japanese).","","",10.12,43.3729793,38.5012085
"49","Tetranychus cinnabarinus","Acari","Tetranychidae","Tetranychus","cinnabarinus",8.81,30,63.67,NA,"","",NA,NA,"","","","",NA,NA,NA,"",NA,"","","","","",NA,NA,NA,"",NA,NA,NA,NA,NA,"","",NA,"","Tang, Y., Long, S., Qi, D., Zhao, H. and Zhou, K.",1994,"Study on the lower developmental threshold and the sum of effective temperatures of Tetranychus cinnabarinus (boisd.) (Acari: Tetranychidae).","Acta Sericol. Sin.","20 (4)","241?242 (in Chinese).","","",8.81,43.3729793,38.5012085
"50","Tetranychus cinnabarinus","Acari","Tetranychidae","Tetranychus","cinnabarinus",9.38,30,56.7,NA,"","",NA,NA,"","","","",NA,NA,NA,"",NA,"","","","","",NA,NA,NA,"",NA,NA,NA,NA,NA,"","",NA,"","Wei, W., Pu, T., Yang, J. and Li, J.",2004,"Application of the lower developmental threshold and sum of effective temperatures of Tetranychus cinnabarinus (boisd.) (Acari: Tetranychidae).","Sichuan Sericol.","3","18?20 (in Chinese).","","",9.38,43.3729793,38.5012085
"51","Tetranychus evansi","Acari","Tetranychidae","Tetranychus","evansi",9.1,31,70.97,NA,"","",NA,NA,"","","","",NA,NA,NA,"",NA,"","","","","",NA,NA,NA,"",NA,NA,NA,NA,NA,"","",NA,"","Bonato, O.",1999,"The effect of temperature on life history parameters of Tetranychus evansi (Acari: Tetranychidae).","Exp. Appl. Acarol.","23","11-19.","","",9.1,43.3729793,38.5012085
"52","Tetranychus evansi","Acari","Tetranychidae","Tetranychus","evansi",14.63,30,56.58,NA,"","",NA,NA,"","","","",NA,NA,NA,"",NA,"","","","","",NA,NA,NA,"",NA,NA,NA,NA,NA,"","",NA,"","de Moraes, G.J. and McMurtry, J.A.",1987,"Effect of temperature and sperm supply on the reproductive potential of Tetranychus evansi (Acari: Tetranychidae).","Exp. Appl. Acarol.","3","95-107.","","",14.63,43.3729793,38.5012085
"53","Tetranychus kanzawai","Acari","Tetranychidae","Tetranychus","kanzawai",13.1,NA,103.68,NA,"","13.9",12.24,12.6,"12.6","13","","",NA,NA,NA,"39.2",66.34,"21.4","18.2","22.6","","",NA,NA,NA,"45.79",57.89,20,15.47,22.43,NA,"","-",NA,"","Kim, S. S., C. H. Paik, et al.",1993,"Some ecological characteristics of tea red spider mite, Tetranychus kanzawai Kishida (Acarina, Tetranychidae).","Korean Journal of Applied Entomology","23","261-266","Korean Republic","",13.1,118.1257661,24.4975048
"55","Tetranychus mcdanieli","Acari","Tetranychidae","Tetranychus","mcdanieli",12.05,32,49.63,NA,"","",NA,NA,"","","","",NA,NA,NA,"",NA,"","","","","",NA,NA,NA,"",NA,NA,NA,NA,NA,"","",NA,"","Roy, M., Brodeur, J. and Cloutier, C.",2002,"Relationship between temperature and developmental rate of Stethorus punctillum (Coleoptera: Coccinellidae) and its prey Tetranychus mcdanieli (Acarina: Tetranychidae).","Environmental Entomology","31","177?187.","","",12.05,43.3729793,38.5012085
"56","Tetranychus okinawanus","Acari","Tetranychidae","Tetranychus","okinawanus",11.58,30,57.54,NA,"","",NA,NA,"","","","",NA,NA,NA,"",NA,"","","","","",NA,NA,NA,"",NA,NA,NA,NA,NA,"","",NA,"","Takafuji, A., Yokotsuka, T., Goka, K. and Kishimoto, H.",1996,"Ecological performance of the spider mite, Tetranychus okinawanus Ehara (Acari, Tetranychidae), a species newly described from Okinawa Islands.","J. Acarol. Soc. Jpn.","5 (2) ","75?81.","","",11.58,43.3729793,38.5012085
"57","Tetranychus pacificus","Acari","Tetranychidae","Tetranychus","pacificus",11.1,NA,121,NA,"","",NA,NA,"","","","",NA,NA,NA,"",NA,"","","","","",NA,NA,NA,"52.1",68.9,24.8,20.4,23.6,NA,"","0",NA,"","Carey, J. R., and J. W. Bradley",1982,"Developmental rates, vital schedules, sex ratios, and life tables for Tetranychus urticae, T. turkestani and T. pacificus (Acarina: Tetranychidae) on cotton","Acarologia","23","333-345","USA, California","",11.1,-119.4179324,36.778261
"59","Tetranychus pacificus","Acari","Tetranychidae","Tetranychus","pacificus",11.15,29.4,51.56,NA,"","",NA,NA,"","","","",NA,NA,NA,"",NA,"","","","","",NA,NA,NA,"",NA,NA,NA,NA,NA,"","",NA,"","Carey, J.R. and Bradley, J.W.",1982,"Developmental rates, vital schedules, sex ratios, and life tables for Tetranychus urticae, T. turkestani and T. pacificus (Acarina: Tetranychidae) on cotton.","Acarologia","23","333?345.","","",11.15,43.3729793,38.5012085
"60","Tetranychus pacificus","Acari","Tetranychidae","Tetranychus","pacificus",10.63,28,60.34,NA,"","",NA,NA,"","","","",NA,NA,NA,"",NA,"","","","","",NA,NA,NA,"",NA,NA,NA,NA,NA,"","",NA,"","Stavrinides, M.C., Lara, J.R. and Mills, N.J.",2010,"Comparative influence of temperature on development and biological control of two common vineyard pests (Acari: Tetranychidae).","Biological Control","55","126?131.","","",10.63,43.3729793,38.5012085
"61","Tetranychus truncatus","Acari","Tetranychidae","Tetranychus","truncatus",14.09,25,53.04,NA,"","",NA,NA,"","","","",NA,NA,NA,"",NA,"","","","","",NA,NA,NA,"",NA,NA,NA,NA,NA,"","",NA,"","Fan, L., Shi, C. and Wang, Y.",2003,"Developmental threshold temperature and the effective accumulated temperature of Tetranychus truncatus Ehara.","Plant Prot.","29 (6)","32?34 (in Chinese).","","",14.09,43.3729793,38.5012085
"62","Tetranychus truncatus","Acari","Tetranychidae","Tetranychus","truncatus",11.12,30,53.9,NA,"","",NA,NA,"","","","",NA,NA,NA,"",NA,"","","","","",NA,NA,NA,"",NA,NA,NA,NA,NA,"","",NA,"","Huang, H. and Kuang, R.",1992,"The effect of temperatures on the development and reproduction of Tetranychus urticae.","Acta Phytophyl. Sin.","19 (1)","17?21 (in Chinese).","","",11.12,43.3729793,38.5012085
"63","Tetranychus truncatus","Acari","Tetranychidae","Tetranychus","truncatus",14.1,30,53.28,NA,"","",NA,NA,"","","","",NA,NA,NA,"",NA,"","","","","",NA,NA,NA,"",NA,NA,NA,NA,NA,"","",NA,"","Lu, L., Jin, D., Wu, S. and Meng, Y.",2002,"Developmental threshold temperature and effective thermal summation of the eggs of Tetranychus truncatus and T. urticae.","Plant Protect","28 (2)","17?18 (in Chinese).","","",14.1,43.3729793,38.5012085
"64","Tetranychus truncatus","Acari","Tetranychidae","Tetranychus","truncatus",11.17,30,68.69,NA,"","",NA,NA,"","","","",NA,NA,NA,"",NA,"","","","","",NA,NA,NA,"",NA,NA,NA,NA,NA,"","",NA,"","Meng, R., Liu, J., Yang, B., Zhou, W. and Yin, W.",2001,"Effects of temperature on the development of Tetranychus truncatus Ehara.","J. Inner Mongolia Agric. Univ.","22 (1)","84?88 (in Chinese).","","",11.17,43.3729793,38.5012085
"65","Tetranychus turkestani","Acari","Tetranychidae","Tetranychus","turkestani",12,NA,112.1,125.9,"","",NA,NA,"","","","",NA,NA,NA,"",NA,"","","","","",NA,NA,NA,"49.7",NA,23.2,18.4,20.8,NA,"","",13.8,"","Carey, J. R., and J. W. Bradley",1982,"Developmental rates, vital schedules, sex ratios, and life tables for Tetranychus urticae, T. turkestani and T. pacificus (Acarina: Tetranychidae) on cotton","Acarologia","23","333-345","USA, California","",12,-119.4179324,36.778261
"66","Tetranychus turkestani","Acari","Tetranychidae","Tetranychus","turkestani",11.67,29.4,51.63,NA,"","",NA,NA,"","","","",NA,NA,NA,"",NA,"","","","","",NA,NA,NA,"",NA,NA,NA,NA,NA,"","",NA,"","Carey, J.R. and Bradley, J.W.",1982,"Developmental rates, vital schedules, sex ratios, and life tables for Tetranychus urticae, T. turkestani and T. pacificus (Acarina: Tetranychidae) on cotton.","Acarologia","23","333?345.","","",11.67,43.3729793,38.5012085
"67","Tetranychus turkestani","Acari","Tetranychidae","Tetranychus","turkestani",10.05,30,61.43,NA,"","",NA,NA,"","","","",NA,NA,NA,"",NA,"","","","","",NA,NA,NA,"",NA,NA,NA,NA,NA,"","",NA,"","Yu, J., Wang, D. and Ma, M.",2000,"Developmental threshold temperature and effective thermal summation of Tetranychus turkestani (Ugrou & Nikolski).","Chin. Bull. Entomol.","37 (4)","203?205 (in Chinese).","","",10.05,43.3729793,38.5012085
"68","Tetranychus urticae","Acari","Tetranychidae","Tetranychus","urticae",10.32,35,148.7,NA,"","10.54",10.09,NA,"","","","",NA,NA,NA,"50.5",95.6,"","","","","",NA,NA,NA,"52.4",96.4,14.8,12.8,16.3,15.6,"36.9","-",NA,"","Bounfour, M. and L. K. Tanigoshi",2001," Effect of temperature on development and demographic parameters of Tetranychus urticae and Eotetranychus carpini borealis (Acari: Tetranychidae)","Annals of the Entomological Society of America","94"," 400-404","USA, Washington State, Vancouver","",10.32,-122.6614861,45.6387281
"69","Tetranychus urticae","Acari","Tetranychidae","Tetranychus","urticae",11.74,NA,108.6,120.5,"","",NA,NA,"","","","",NA,NA,NA,"",NA,"","","","","",NA,NA,NA,"46.1",NA,21.9,19,21.5,NA,"","",11.9,"","Carey, J. R., and J. W. Bradley",1982,"Developmental rates, vital schedules, sex ratios, and life tables for Tetranychus urticae, T. turkestani and T. pacificus (Acarina: Tetranychidae) on cotton","Acarologia","23","333-345","USA, California ","lab studies)",11.74,-76.5074542,38.3004029
