"","Species","Order","Family","Genus","Species.1","BDT.C","UDT.C","EADDC","EEDDC","OS","ET","LT","TL1","TL2","TL3","TL4","TL5","TP","TMA","TOA","DE","DLT","D1","D2","D3","D4","D5","DP","DMA","DOA","DBE","DBLT","DB1","DB2","DB3","DB4","DB5","DBP","DBMA","DBOA","Author","Year","Title","Journal","Vol","Pages","Location","Lab","BDT.c","lon","lat"
"782","Atherigona soccata","Diptera","Muscidae","Atherigona","soccata",10.2,NA,342.9,NA,"","12.4",9.3,NA,"","","","",10.7,NA,NA,"25.8",194.7,"","","","","",124.8,NA,NA,"",NA,NA,NA,NA,NA,"","",NA,"","Delobel, A. G. L. and Unnithan, G.C.",1983,"Influence des tempÇratures constantes sur les caractÇristiques des populations d 'Atherigona Soccata (Diptäres Muscidae). ","Oda oecol.","4","351-368","Kenya Nairobi","",10.2,36.8219462,-1.2920659
"783","Fannia canicularis","Diptera","Muscidae","Fannia","canicularis",0.5,NA,572,NA,"","",NA,NA,"","","","",NA,NA,NA,"",NA,"","","","","",NA,NA,NA,"",NA,NA,NA,NA,NA,"","",NA,"","Meyer, J. A. and B. A. Mullens",1988,"Development of immature Fannia spp. (Diptera: Muscidae) at constant laboratory temperatures","Journal of Medical Entomology","25"," 165-171","USA, California","",0.5,-119.4179324,36.778261
"784","Fannia femoralis","Diptera","Muscidae","Fannia","femoralis",4.9,NA,359,NA,"","",NA,NA,"","","","",NA,NA,NA,"",NA,"","","","","",NA,NA,NA,"",NA,NA,NA,NA,NA,"","",NA,"","Meyer, J. A. and B. A. Mullens",1988,"Development of immature Fannia spp. (Diptera: Muscidae) at constant laboratory temperatures","Journal of Medical Entomology","25"," 165-171","USA, California","",4.9,-119.4179324,36.778261
"788","Haematobia irritans irritans","Diptera","Muscidae","Haematobia","irritans irritans",12.43,NA,154.34,NA,"","",NA,NA,"","","","",NA,NA,NA,"",NA,"","","","","",NA,NA,NA,"",NA,NA,NA,NA,NA,"","",NA,"","Larsen, E.B. and Thomsen, M.",1940,"The influence of temperature on the development of some species of diptera. ","Videnkabelige Meddeleser fra Dansk Natturhistorisk Forening","104","?1-75","Denamrk","",12.43,9.501785,56.26392
"789","Haematobia irritans irritans","Diptera","Muscidae","Haematobia","irritans irritans",12.81,NA,146.31,NA,"","",NA,NA,"","","","",NA,NA,NA,"",NA,"","","","","",NA,NA,NA,"",NA,NA,NA,NA,NA,"","",NA,"","Larsen, E.B. and Thomsen, M.",1940,"The influence of temperature on the development of some species of diptera. ","Videnkabelige Meddeleser fra Dansk Natturhistorisk Forening","104","?1-75","Denamrk","",12.81,9.501785,56.26392
"790","Haematobia irritans irritans","Diptera","Muscidae","Haematobia","irritans irritans",10.2,NA,212.3,NA,"","",12.3,NA,"","","","",NA,NA,NA,"",71.9,"","","","","",NA,NA,NA,"",NA,NA,NA,NA,NA,"","",NA,"","Lysyk TJ.",1992,"Simulating development of immature horn flies, Haematobia irritans irritans (L.) (Diptera: Muscidae), in Alberta.","Canadian Entomologist","124","841-851","Canada, Alberta","",10.2,-116.5765035,53.9332706
"791","Haematobia irritans irritans","Diptera","Muscidae","Haematobia","irritans irritans",10.7,NA,162,NA,"","",NA,NA,"","","","",NA,NA,NA,"",NA,"","","","","",NA,NA,NA,"",NA,NA,NA,NA,NA,"","",NA,"","Palmer W.A., Bay D.E., Sharpe P.J.H.",1981,"Influence of temperature on the development and survival of the immature stages of horn fly, Haematobia irritans irritans (L.).","Protect.Ecol.","3","299-309","USA Texas","",10.7,NA,NA
"792","Haematobia thirouxi potans","Diptera","Muscidae","Haematobia","thirouxi potans",11.1,NA,184.1,NA,"","10.3",10.3,NA,"","","","",11.7,NA,NA,"11.5",86.9,"","","","","",87.1,NA,NA,"",NA,NA,NA,NA,NA,"","",NA,"","Fay, H.A.C.",1985,"Temperature-regulated development rates of the immature stages of the African buffalo fly Haematobia thirouxi potans (Diptera: Muscidae). ","Environmental Entomology","14(1)","38-41","RSA l East","",11.1,139.834993,35.791744
"794","Musca autumnalis","Diptera","Muscidae","Musca","autumnalis",10.1,NA,197,NA,"","",NA,NA,"","","","",NA,NA,NA,"",NA,"","","","","",NA,NA,NA,"",NA,NA,NA,NA,NA,"","",NA,"","Moon, R.D.",1983,"Simulating development time of preadult face flies (Diptera: Muscidae) from air temperature records.","Environmental Entomology","12(3)","943-948","USA MN","",10.1,-94.6858998,46.729553
"795","Musca domestica","Diptera","Muscidae","Musca","domestica",11,NA,177.9,NA,"","",NA,NA,"","","","",11.9,NA,NA,"",NA,"","","","","",77.3,NA,NA,"",NA,NA,NA,NA,NA,"","",NA,"","Imai C.",1979,"Influence of temperature on the development of Hokko colony nad Tatsuki strain of the housefly, Musca domestica.","","30","173-179","Japan","",11,138.252924,36.204824
